Planet Name,    UT Start,    UT Stop, UT 1st Contact, UT 4th Contact, Err(min), Reason,Frac1,Frac2,V mag, J mag,H mag,K mag,Depth, B-V,Chart,Type
Kepler-156 b,2018/03/04 09:59,2018/03/04 11:46,2018/03/04 09:24,2018/03/04 10:59,7.5, OBJ N/A,0.63,0.565,-----,12.73,12.26,12.15,0,-----,Finder,P
Kepler-360 c,2018/03/04 09:37,2018/03/04 12:26,2018/03/04 10:19,2018/03/04 11:43,19, N/A N/A,1,1,-----,13.64,13.3,13.23,0,-----,Finder,P
Kepler-107 c,2018/03/04 09:58,2018/03/04 12:55,2018/03/04 10:54,2018/03/04 15:06,15.3, OBJ SUN,0.479,0.35,-----,11.39,11.11,11.06,0,-----,Finder,P
Kepler-227 b,2018/03/04 09:38,2018/03/04 12:55,2018/03/04 11:02,2018/03/04 14:09,19.1, OBJ SUN,0.603,0.526,-----,14.08,13.75,13.65,0,-----,Finder,P
Kepler-322 b,2018/03/04 10:26,2018/03/04 12:55,2018/03/04 11:16,2018/03/04 12:56,17.1, N/A SUN,0.987,0.744,-----,12.25,11.87,11.84,0,-----,Finder,P
Kepler-198 b,2018/03/04 09:59,2018/03/04 12:55,2018/03/04 11:18,2018/03/04 15:47,9.1, OBJ SUN,0.361,0.328,-----,12.42,12.07,12.03,0,-----,Finder,P
 Kepler-49 d,2018/03/04 10:46,2018/03/04 12:55,2018/03/04 11:34,2018/03/04 13:10,5.4, N/A SUN,0.842,0.671,-----,13.18,12.49,12.38,0,-----,Finder,P
Kepler-360 b,2018/03/04 11:02,2018/03/04 12:55,2018/03/04 12:11,2018/03/04 14:30,17.2, N/A SUN,0.316,0.408,-----,13.64,13.3,13.23,0,-----,Finder,P
Kepler-1352 b, 2018/03/04 11:29, 2018/03/04 12:55, 2018/03/04 12:39, 2018/03/04 14:5,9     18.,7 N/A SUN,0.112,0.306, ----,- 12.25,11.96,11.92,0, -----, Finder, P
Kepler-211 c,2018/03/05 09:22,2018/03/05 10:58,2018/03/05 07:53,2018/03/05 09:57,12.3, OBJ N/A,0.278,0.389,-----,11.93,11.49,11.45,0,-----,Finder,P
